objectid,title,title-es,creator,description-en,description-es,date,location-en,location-es,Latitude,Longitude,subject-en,subject-es,tags-en,tags-es,source,type,format,rights,rightsstatement,object_location,filename
latchbo0035,Grandma's Chocolate,El Chocolate de Abuelita,Mara Price; Lisa Fields,"When Sabrina's grandmother visits from Mexico, she brings gifts that make Sabrina feel like a Mayan princess. ",,2010,Southern California,"México; Sureste de California; Katonah, New York ",34.18924591,-117.9502971,Grandmothers--Fiction; Mayas--Fiction; Indians of Mexico--Fiction; Mexican Americans--Fiction; Spanish language materials--Blingual,Abuelas--Ficción; Mayas--Ficción; Personas indígenas de México--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,History; Mayans and Aztecs; Mexico; Traditional items; Clothing; Huipil; Chocolate; Cacao; Family; Gifts; Visting Family,Historia; Mayas y Azetecas; México; Objetos tradicionales; Ropa; Huipil; Chocolate; Cacao; Famila; Regalos; Vistando familia,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0035.jpg
latchbo0036,Grandpa Used to Live Alone,Abuelo vivía solo,Amy Costales; Esperanza Gama,"A young woman recalls her grandfather's abiding prescence in her life as he cares for her throughout her infancy and childhood while her mother is at school or work, until she is the one fixing his snacks and seeing him safely to bed.",,2010,"Eugene, Oregon; Guadalajara, Jalisco, Mexico; Chicago, Illnois","Eugene, Oregon; Guadalajara, Jalisco, México; Chicago, Illnois ",44.05348068,-123.086161,Grandfathers--Fiction; Spanish language materials--Bilingual,Abuelos--Ficción; Materiales en español--Bilingüe,Caregiving; Grandfathers; Grandaughters; Memories; Rice Pudding,Cuidando; Abuelos; nietas; recuerdos; arroz con leche,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0036.jpg
latchbo0037,Growing up on the Playground,Nuestro patio de recreo,James Luna; Monica Barela-Di Bisceglie,"From the first day of kindergarten, Ana and her friends have fun and encourage each other on the playground until, in sixth grade, they must leave it to the younger children.",,2018,"Riverside, California","Riverside, California; Rio Rancho, Nuevo México",33.98243576,-117.3765285,Playgrounds--Fiction; Friendship--Fiction; Growth--Fiction; Schools--Fiction; Spanish language materials--Fiction,Patios de recreos--Ficción; Amistad--Ficción; Crecimiento--Ficción; Escuelas--Ficción; Materiales en español--Bilingüe,Friends; Playground; Games; Growing up; Sixth Grade; School; Friendship,Amigos; patios de recreos; juegos; creciendo; sexto grado; escuelas; amistad,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0037.jpg
latchbo0038,Growing up with Tamales,Los tamales de Ana,Gwendolyn Zepeda; April Ward,Six-year-old Ana looks forward to growing older and being allowed more responsibility in making tamales for the family's Christmas celebrations.,,2008,"Houston, Texas","Houston, Texas; San Diego, California",29.7535998,-95.35739879,Growth--Fiction; Cookery--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Crecimiento--Ficción; Cocina--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Traditional food; Mexican; Cooking; Tamales; Family; Sisters; Christmas; Future,Comida tradicional; Mexicano; Cocinando; Tamales; Familia; hermanas; Navidad; el futuro,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0038.jpg
latchbo0039,"Halloween, A Day for Witches","Halloween, El Día de las brujas",Maria L. Gutiérrez; Nicole Montenegro,Told as poem in Spanish and English a young boy recounts the excitement of Halloween night.,,2022,"Oxnard, California","Oxnard, California; Santa Paula, California; Carolina del Norte ",34.19926211,-119.1816648,Halloween--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Halloween--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Halloween; Candy; Pirates; Costumes; Monsters; Witches; Rhyming; Poetry,Halloween; dulce; piratas; disfraces; monstruos; brujas; rima; poesía,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0039.jpg
latchbo0040,Harvesting Friends,Cosechando Amigos,Kathleen Contreras; Gary Undercuffler,"After learning that a hungry classmate is taking tomatoes fro their garden, Lupe and her mother invite neighbors to help in what becomes a community garden and gathering place. Includes recipes.",,2018,"Ventura, California; Pennsylvania","Ventura, California; Pennsylvania",34.28116432,-119.293766,Gardening--Fiction; Community gardens--Fiction; Neighborhoods--Fiction; Hispanic American--Fiction; Spanish language materials--Bilingual,Jardiendo--Ficción; Huerto de la comunidad--Ficción; Barrios--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Community; Planting; Mexico; Sharing; Friendship; Parties; Celebrations; Neighborhood Garden,Comunidad; plantando; México; compartiendo; amistad; fiestas; celebraciones; Huertos de comunidades,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0040.jpg
latchbo0041,"Hit It, Hit It, Hit It: A Fiesta of Numbers","Dale, Dale, Dale: Una fiesta de números",René Saldaña Jr.; Carolyn Dee Flores,"In this bilingual counting picture book, a young boy counts to fourteen in anticipation of his birthday party: one piñata filled with candy; two hours until the party; three tables set for all of the guests, etc.",,2013,"Lubbbock, Texas","Lubbbock, Texas; San Antonio, Texas; ",33.58345601,-101.8390701,Birthdays--Fiction; Parties--Fiction; Counting; Spanish language materials--Bilingual,Cumpleaños--Ficción; Fiestas--Ficción; Contando; Materiales en español--Bilingüe,Birthday Party; piñatas; bilingual counting; family;,Fiesta de cumpleaños; piñatas; contando bilingüe; familia,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0041.jpg
latchbo0042,"I am René, the Boy","Soy René, el niño",René Colato Laínez; Fabiola Graullera Ramírez,"When René  learns that in the United States his name is also a girl's name, he does some research and relates the name's meaning and letters to his homeland of El Salvador and the things that make him special.",,2005,"San Salvador, El Salvador","El Salvador; Los Angeles, California; Cuidad de México, México",13.69473844,-89.19138814,"Salvadoran Americans--Juvenile fiction; Salvadoran Americans--Fiction; Names, Personal--Fiction; Schools--Fiction; Bilingualism--Fiction; Spanish language materials--Bilingual",Salvadoreños americanos--Ficción juvenil; Salvadoreños americanos--Ficción; Nombres; Personal--Ficción; Escuelas--Ficción; Materiales en español--Bilingüe,El Salvador; Immigrants; Names; Bilingual; Schools; Libraries; Books; Competition,El Salvador; Inmigrantes; Nombres; Bilingüe; Escuelas; Bibliotecas; libros; competición,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0042.jpg
latchbo0043,I Kick the Ball,Pateo el balón,Gwendolyn Zepeda; Pablo Torrecilla,"Young Toñito thinks and dreams of soccer all the time, even as he does homework, eats dinner and spends time with his family.",,2011,"Houston, Texas","Houston, Texas; Madrid, España",29.7535998,-95.35739879,Soccer--Fiction; Spanish language materials--Bilingual,Fútbol--Ficción; Materiales en español--Bilingüe,Soccer; Routine; Practice; Dreams; Imagination,Fútbol; Rutina; Practicar; Sueños; Imaginación,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0043.jpg
latchbo0044,Icy Watermelon,Sandía fría,Mary Sue Galindo; Pauline Rodriguez Howard,"When three generations of a family gather to eat watermelon, the grandparents reminisce about how the sweet fruit brought them together.",,2001,"Laredo, Texas",,27.50559318,-99.50569606,Grandparents--Fiction; Watermelon--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,Abuelos--Ficción; Sandía--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,Harvesting; Neighborhoods; Grandparents; Family; Watermelon; Stories; Mexican Americans,Coshechando; Barrios; Abuelos; Sandía; Historias; Mexican americanos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0044.jpg
latchbo0045,Isabel Allende: Memories for a Story,Isabel Allende: Recuerdos para un cuento,Raquel Benatar; Fernando Molinari,A desccription of the childhood and youth of the Chilean author Isabel Allende.,,2003,"Santiago, Chile","Lima, Peru; Santiago, Chile; Venezuela, San Rafael, California; Madrid, España; Beverly Hills, California; Argentina",-33.44747358,-70.65662202,"Allende, Isabel--Childhood and youth--Juvenile literature; Allende, Isabel--Family--Juvenile literature; Allende family--Juvenile literature; Authors, Chilean--20th century--Biography--Juvenile literature; Allende, Isabel--Childhood and youth; Authors, Chilean; Spanish language materials--Bilingual","Allende, Isabel--infancia y juventud--Literatura juvenil; Allende, Isabel--Familia--Literatura juvenil; Familia Allende--Literature juvenil; Autores, Chilenos--el siglo veinte--Biografía--Literatura juvenil; Allende, Isabel--infancia y juventud; Autores, Chileno; Materiales en español--Bilingüe",Biograpy; Isabel Allende; Author; Family History; Chile; Grandparents; House of Spirits,Biografía; Isabel Allende; Autor; Historia de familia; Chile; Abuelos; La Casa de los espirtus,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0045.jpg
latchbo0046,It's Bedtime Cucuy!,"¡A la cama, Cucuy!",Claudia Galindo; Jonathan Coombs,Cucuy does everything he can think of to avoid going to bed in this rhyming story told in Spanish and English.,,2008,"Dallas, Texas","Dallas, Texas; Utah",32.77495893,-96.80022982,Bedtime--Fiction; Behavior--Fiction; Monsters--Fiction; Spanish language materials--Bilingual,Acostarse--Ficción; Conducta--Ficción; Monstruos--Ficción; Materiales en español--Bilingüe,Cucuy; Bedtime; Fighting Sleep; Bedtime Behavior Problems; Monsters;,Cucuy; Acostarse; luchando la dormir; Problemas conductas de acostarse; Monstruos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0046.jpg
latchbo0047,Josefina's Habichuelas,Las habichuelas de Josefina,Jasminne Mendez; Flor De Vita,"Josefina gives up eating desserts for the forty days and forty nights of Lent as a reward her mother along with Tías and Abuela teach her to make habichuelas con dulce, a traditional Dominican dessert to be enjoyed with family during the Easter holiday.",,2021,Dominican Republic,"Houston, Texas; República Dominicana; Veracruz,México; Jalisco, México ",18.92615756,-70.19338066,Mothers and daughters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Madres y hijas--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Traditional food; Cooking; Desserts; Afrolatina; Afrolatine; Afrolatinx; Dominican Republic,Comida tradicional; Cocinando; Postres; Afrolatina; Afrolatine; Afrolatinx; República Dominicana,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0047.jpg
latchbo0048,Juan and the Chupacabras,Juan y el Chupacabras,Xavier Garza; April Ward,"After hearing about thier grandfather's boyhood encounter with the Chupacabras, a green, winged creature with glowing eyes, Juan and his cousin Luz decide to find out if the story could be true. ",,2006,"Rio Grande Valley, Texas","Valle de Rio Grande, Texas; San Antonio, Texas; San Diego, California",26.37962155,-98.82032409,Monsters--Fiction; Grandfathers--Fiction; Spanish language materials--Bilingual,Monstruos--Ficción; Abuelos--Ficción; Materiales en español--Bilingüe,Chupacabra; Chupacabras; Folklore; Folktales; Mexican Folklore; Monsters; La Llorona; Grandfather and grandkids,Chupacabra; Folklore; Cuentos folclóricos; Folklore Mexicano; Monstruos; La Llorona; Abuelos y nietos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0048.jpg
latchbo0049,Just One Itsy Bitsy Little Bite,Sólo una mordidita chiquitita,Xavier Garza; Flor De Vita,"Just as Joaquin and his mother are about to enjoy their pan de muerto on the Day of the Dead, a skeleton arrives offering to play music in exchange for one tiny bite.",,2018,"San Antonio, Texas","Valle de Rio Grande, Texas; San Antonio, Texas; Veracruz, México; Jalisco, México ",29.43045738,-98.50924795,Pastry--Fiction; Skeleton--Fiction; Musicians--Fiction; Mariachi--Fiction; All 'Souls' Day--Fiction; Spanish language materials--Bilingual,Pasteles--Ficción; Esqueleto--Ficción; Músicos--Ficción; Mariachi--Ficción; El Día de los Muertos--Ficción; Materiales en español--Bilingüe,Pan de Muerto; Day of the Dead; Skeletons; Family; Sharing; Mexico,Pan de Muerto; Día de los Muertos; Esqueletos; Familia; compartiendo; México,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0049.jpg
latchbo0050,Kikirikí,Quiquiriquí,Diane de Anda; Daniel Lechón,"Marta and Celia are horrified to learn that their family plans to eat the rooster their abuela brought home, and they set out to save him.",,2004,"Los Angeles, California","Los Angeles, California; Houston, Texas",34.0507663,-118.2648393,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Roosters--Fiction,Mexicano americanos--Ficción juvenil; Mexicano americanos--Ficción; Gallos--Ficción,Roosters; Family Dinner; Pets; Animals; Children; Mexican American;,Gallos; Cena de familia; mascotas; animales; niños; Mexicano americanos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0050.jpg
latchbo0051,La Llorona Can't Scare Me,La Llorona no me asusta,Xavier Garza,"A young boy, Damian, remains unfrightened by La Llorona and all of her monster friends.",,2021,"Rio Grande Valley, Texas","El Valle de Rio Grande, Texas; San Antonio, Texas",26.37962155,-98.82032409,La Llorona--Fiction; Monsters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,La Llorona--Ficción; Monstruos--Ficción; Hispanoamericanos--Ficción; Materiales en español–Bilingüe,Folklore; Monsters; La Llorona; Witch Owl; Witches; Duendes; Chupacabras; Cucuy; Nighlight; Luchador; Fears,Folklore; Monstruos; La Llorona; Bruja lechuza; Brujas; Brujas; Duendes; Chupacabras; Cucuy; Luz de noche; Luchador; Miedos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0051.jpg
latchbo0052,Let's Dance,¡A bailar!,Judith Ortiz Cofer; Christina Ann Rodriguez,"A young girl and her mother put on their red dresses and dance their way through the barrio, collecting friends and neighbors along the way as they go to the park to hear her father's salsa band play.",,2011,"Hormigueros, Puerto Rico","Hormigueros, Puerto Rico; Athens, Georgia; Jackson, Nueva Jersey",18.13825998,-67.11061126,Dance--Fiction; Salsa (Music)--Fiction; Hispanic Americans--Fiction; Bands (Music)--Fiction,Bailar--Ficción; Salsa (Música)--Ficción; Hispanoamericanos--Ficción; Bandas (Música)--Ficción,Dancing; Singing; Song; Rhythm; Salsa; Salsa Band; Music; Neighborhood; Blending languages,Bailando; cantando; Canción; ritmo; Salsa; banda de salsa; Música; barrios; mezclando lenguas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0052.jpg
latchbo0053,Let's Salsa,Bailemos Salsa,Lupe Ruiz-Flores; Robert Casilla,"Estela watches the women from her neighborhood dance and enjoy the salsa classes offered from the recreation center, eventually her mother joins as well, however Estela and all other children are banned and Estela decides to protest.",,2013,"San Antonio, Texas","San Antonio, Texas; Cuidad de Jersey, Nueva Jersey; Nueva Fairfield, Connecticut",29.43045738,-98.50924795,"Salsa (Dance)--Juvenile Fiction; Petition, Right of--Juvenile Fiction; Communities--Juvenile Fiction; Salsa (Dance)--Fiction; Social action--Fiction; Community life--Fiction; Spanish language materials--Bilingual","Salsa (Bailar)--Ficción juvenil; Petición, Derechos de--Ficción juvenil; Comunidades--Ficción juvenil; Salsa(Bailar)--Ficción; Acción social--Ficción; Vida de comunidad--Ficción; Materiales en español--Bilingüe",Salsa; Dance classes; Exercise; Recreation Center; Petition; Community Service; Activism;,Salsa; clases de bailar; ejercicio; centro de recreacion; petición; servicio por la comunidad; activismo ,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0053.jpg
latchbo0054,Level Up,Paso de nivel,Gwendolyn Zepeda; Pablo Torrecilla,"David is always about to reach a new level of a video game when his friends invite him to play outside, but while the game is broken, he discovers tha learning to skateboard or play basketball can be like ""leveling up"" in real life.",,2012,"Houston, Texas","Houston, Texas; Madrid, España",29.7535998,-95.35739879,Video games--Fiction; Play--Fiction; Spanish language materials--Bilingual,Videojuegos--Ficción; Jugar--Ficción; Materiales en español--Bilingüe,Video games; Sports; Eating Healthy; Exercise; Practice,Videojuegos; deportes; ejercicio; habitos de comer saludable; praticar,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0054.jpg
latchbo0055,Little Crow to the Rescue,El Cuervito Al Rescate,Victor Villaseñor; Felipe Ugalde Alcántara,"When his father teaches him to beware of the tricky human beings, who try to hit birds with rocks, Little Crow shares an idea which causes all the crows to proclaim him a genius and alters their future.",,2005,"Carlsbad, California","México; Carlsbad, California; Oceanside, California; Cuidad de México, México",33.16052951,-117.3507665,Crows--Fiction; Human-animal relationships--Fiction; Spanish language materials--Bilingual,Cuervitos--Ficción; Humano-animal relación--Ficción; Materiales en español--Bilingüe,Father and son; Birds; Crows; Animal Origin Story; Parent-Child; Farmers; Generational,Padres y hijos; pájaros; cuervos; cuentos de origen animal; Padre-hijo; agricultores; generacional,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0055.jpg
latchbo0056,"Luminous Moon, Where Are You?","Luna luminosa, ¿dónde estás?",Aracely De Alvarado; Victoria Castillo,Juanito wonders where the moon has hidden as he searches for its light.,,2020,"Monterrey,  Nuevo León, Mexico","Monterrey, Nuevo León, México; California; Texas",25.68435984,-100.3306518,Moon--Fiction; Animals--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,La luna--Ficción; Animales--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Moon; New Moon; Singing; Song; Animals; Searching,La Luna; La Luna Nueva; Cantando; Canción; Animales; Buscando,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0056.jpg
latchbo0057,Lupita's First Dance,El Primer Baile De Lupita,Lupe Ruiz-Flores; Gabhor Utomo,"Lupita is excited about dancing La Raspa, a Mexican folk dance, with her first-grade class at a celebration of Children's Day, el Dia Ñino, but just before the performance her partner, Ernesto, sprains his ankle.",,2013,"San Antonio, Texas","San Antonio, Texas; Indonesia; Portland,Oregon",29.43045738,-98.50924795,Folk dancing--Fiction; Children's Day--Fiction; Spanish Language Materials--Bilingual,Baile folclórico--Ficción; El Día de Ñino--Ficción; Materiales en español–Bilingüe,Traditional dancing; La Raspa; First Grade; Dance recital; Children's Day; Mexican Folk Dance,Bailando tradicional; La Raspa; primer grado; recital de baile; El Dia de Ñino; baile folclórico Mexicano,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0057.jpg
latchbo0058,Lupita's Papalote,El paplote de Lupita,Lupe Ruiz-Flores; Pauline Rodriguez Howard,"A young girl wants to fly a kite, but her family cannot afford to buy one, so her father helps her make a kite of her own.",,2002,"San Antonio, Texas","San Antonio, Texas",29.43045738,-98.50924795,Kites--Fiction; Fathers and daughters--Fiction; Spanish language materials--Bilingual,Papalote--Ficción; Padres y hijas--Ficción; Materiales en español--Bilingüe,Kites; DIY; Crafting; Building; Imagination,Papalotes; DIY; haciendo; construyendo; imaginación,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0058.jpg
latchbo0059,Magda's Piñata Magic,Magda y la piñata mágica,Becky Chavarría-Cháirez; Anne Vega,"When Tío Manuel brings home a very special piñata for Gabriel's birthday party, his sister Magda figures out an ingenious way to preserve it and still make the party guests happy.",,2001,"San Antonio, Texas","San Antonio, Texas; Dallas, Texas; Nashville, Tennessee",29.43045738,-98.50924795,Piñatas--Fiction; Birthdays--Fiction; Parties--Fiction; Brothers and sisters--Fiction; Spanish language materials--Bilingual,Piñatas--Ficción; Cumpleaños--Ficción; Fiestas--Ficción; Hermanos y hermanas--Ficción; Materiales en español--Bilingüe,Birthday Party; Latino/a Tradition; Piñatas; Candy; Imagination,Fiesta de cumpleaños; Tradiciones Latino/a; Piñatas; Dulce; Imaginación,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0059.jpg
latchbo0060,Magda's Tortillas,Las tortillas de Magda,Becky Chavarría-Cháirez; Anne Vega,"While learning to make tortillas on her seventh birthday, Magda tries to make perfectly round ones like those made by her grandmother but instead creates wonderful shapes.",,2000," San Antonio, Texas","San Antonio, Texas; Dallas, Texas; Nashville, Tennessee ",29.43045738,-98.50924795,Shape--Fiction; Grandmothers--Fiction; Tortillas--Fiction; Cookery Mexican--Fiction; Birthdays--Fiction; Spanish language materials--Bilingual,Formas--Ficción; Abuelas--Ficción; Tortillas--Ficción; Cocina Mexicana--Ficción; Cumpleaños--Ficción; Materiales en español--Bilingüe,Traditional food; Mexican; Cooking; Dough; Tortillas; Birthday; Family; Tortila Artist,Comida tradicional; Mexicano; Cocinando; Tortillas; Cumpleaños; Familia; Ariste de tortillas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0060.jpg
latchbo0061,Marina's Muumuu,El muumuu de Marina,Evangelina Vigil-Piñón; Pablo Torrecilla,"Marina has always dreamed of having a colorful muumuu, the traditional dress of Hawaiian people, and finally goes to the bustling downtown with her grandmother to buy the fabric.",,2001,"San Antionio, Texas","San Antonio, Texas; Madrid, España",29.43045738,-98.50924795,Clothing and dress-Hawaii--Fiction; Racially mixed people--Fiction; Spanish language materials--Bilingual,Ropa y vestido--Hawai--Ficción; Gente mesitza--Ficción; Materiales en español–Bilingüe,Hawaii; Biracial; Muumuus; Sewing; Grandmother and granddaughter; Colorful fabric; Tropical fabric,Hawai; Birracial; Muumuus; cosiendo; Abuela y nieta; tela de colores; tela tropical,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0061.jpg
latchbo0062,Maxy Survices the Hurricane,Maxy sobrevive el huracán,Ricia Anne Chansky / Yarelis Marcial Acevedo; Olga Barinova,"Maxy the dog survives Hurricane Maria, and like many who go through natural diasters, he is latter terrified of storms and rain.",,2021,"Mayagüez, Puerto Rico","Mayagüez, Puerto Rico; Calgary, Canada",18.19029253,-67.13640792,"Dogs--Fiction; Fear--Fiction; Hurricane Maria, 2017--Fiction; Puerto Rico--Fiction; Spanish language materials--Bilingual","Perros--Ficción; Miedo--Ficción; Huracán Maria, 2017--Ficción; Puerto Rico--Ficción; Materiales en español--Bilingüe",Puerto Rico; Natural Diasters; Hurricane Maria; Fears; Dogs,Puerto Rico; desastres naturales; Huracán Maria; miedos; Perros,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0062.jpg
latchbo0063,Maya and Annie on Saturdays and Sundays,Los sábados y domingos de Maya y Annie,Gwendolyn Zepeda; Thelma Muraida,"Told in two voices and languages, Vietnamese American Annie and Hispanic American Maya attend different schools but spend nearly every weekend together, until something special happens to bring them closer together.",,2018,"Houston, Texas","Houston, Texas; San Antonio, Texas",29.7535998,-95.35739879,Friendship--Fiction; Hispanic Americans--Fiction; Vietnamese Americans--Fiction; Single-parent families--Fiction; Remarriage--Fiction; Spanish language materials--Bilingual,Amistad--Ficción; Hispanoamericanos--Ficción; Vietnamita Americano--Ficción; Familias monparentales--Ficción; Segundas nupcias--Ficción; Materiales en español--Bilingüe,Blended families; Marriage; Friends; Sisters; Step-sisters; Vietnamese culture; Latino/a culture,familias mixtas; matrimonio; amigos; hermanas; hermanastras; cultura vietnamita; cultura Latino/a,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0063.jpg
latchbo0064,Mayanito's New Friends,Los nuevos amigos de Mayanito,"Jesús Abraham ""Tato"" Laviera; Gabhor Utomo",Mayanito travels from his mountain top village of his tribe to befriend the animals of the jungle and the human children of the village below.,Mayanito viaja de la villa de su tribu en la cima de una montaña para amistarse con los animales de la selva y los niños humanos que viven en la villa al pie de la montaña.,2017,"Santurce, Puerto Rico","Santurce, Puerto Rico; Manhattan, Nueva York; Indonesia; Portland, Oregon",18.46721251,-66.11721872,Mayans--Fiction; Friendship--Fiction; Traveling--Fiction; Spanish language materials--Bilingual,Mayans--Ficción; Amistad--Ficción; Materiales en español--Bilingüe,Friendship; Diversity; Music; Animals; Mayans; Indigenous,Amistad; diversidad; música; animales; mayas; indígena,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0064.jpg
latchbo0065,Mayte and the Bogeyman,Mayte y el Cuco,Acosta González; Christina Rodriguez,"Mayte loves to look and listen to the street vendors as they pass by; except for Don Aparicio, the ice cream vendor, whom she and her best friend believe is actually El Cuco, the Bogeyman.",,2006,"Río Piedras, Puerto Rico","Río Piedras, Puerto Rico; San Antonio, Texas; Stillwater, Minnesota",18.38972246,-66.04126846,Street vendors--Fiction; The Bogeyman--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Vendedores de calle--Ficción; El Cuco--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,The Bogeyman; The Boogeyman; Street Vendors; Ice Cream; Best Friends; Folklore of Latin Americas,El Cuco; El Cucuy; vendedores de calle; helado; mejor amigos; folklore de Americas Latinas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0065.jpg
latchbo0066,Mimí's Parranda,La parranda de Mimí,Lydia M. Gil; Hernán Sosa,"Mimí is excited for her family's annual trip to Puerto Rico, especially for the food and parrandas, during the Christmas holiday; and she is disappointed when her mother tells her they will be not be going this Christmas.",,2006,"Mayagüez, Puerto Rico","Mayagüez, Puerto Rico; Denver, Colorado; Samuhú, Argentina",18.19029253,-67.13640792,Christmas--Fiction; Parrandas--Fiction; Puerto Rico--Fiction; Hispanic American--Fiction; Spanish language materials--Bilingual,Navidad--Ficción; Parrandas--Ficción; Puerto Rico--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Christmas; Puerto Rico; Parrandas; Christmas Party; Friends; Music; Family; Traditional food,Navidad; Puerto Rico; Parrandas; Fiesta de Navidad; Amigos; Música; Familia; Comida tradicional,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0066.jpg
latchbo0067,Mother Fox and Mr. Coyote,Mamá Zorra y Don Coyote,Victor Villaseñor; Felipe Ugalde Alcántara,Mamá Zorra distracts a hungry coyote from eating her and her three cubs by persuading him that the moon's reflection in  a pond is actually a giant wheel of cheese.,,2004,"Carlsbad, California","Carlsbad, California; Oceanside, California; Cuidad de México, México",33.16052951,-117.3507665,Foxes--Folklore; Coyote--Folklore; Moon--Folklore; Follklore--Mexico; Spanish language materials--Bilingual.,Zorros--Folklore; Coyote--Folklore; La luna--Folklore; Folklore--México; Materiales en español--Bilingüe,Mexican Folktale; Folklore; Indigenous; Fox; Coyote; Moon,Cuentos folclóricos Mexicanos; Folklore; indígena; Zorro; Coyote; La Luna;,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0067.jpg
latchbo0068,Muffler Man,El hombre mofle,Tito Campos; Lamberto and Beto Alvarez,"Chuy works hard at the muffler shop to earn enough money to join his father in America, where together they create an army of ""muffler men,"" statues made from old muffler parts, that they scatter around the city.",,2001,"Los Angeles, California","Los Angeles, California; Dallas, Texas; Fort Worth, Texas",34.05464511,-118.2438575,Fathers and sons--Fiction; Sculpture--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,Padres y hijos--Ficción; Esculturas--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,Immigrants; Mexico; Borders; Art; Artist; Sculptures; Sculptor; Mufflers; Cars;,Inmigrantes; México; Fronteras; Artes; Artisita; Esculturas; Mofles,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0068.jpg
latchbo0069,My Big Sister,Mi hermana mayor,Samule Caraballo; Thelma Muraida,"Before and after school, Anita takes wonderful care of her little brother while their parents work in a factory, sewing jeans.",,2012,"Vieques, Puerto Rico","Vieques, Puerto Rico; Virginia;  San Antonio, Texas ",18.14725676,-65.44500157,Brother and sisters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Hermanos y hermanas--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Factory work; immigrants; jeans; siblings; older sister;,Trabajo de fabrica; inmigrantes; pantalones; hermanos; hermana mayor,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0069.jpg
